name,title,description,datatype,required
uid,Ідентифікатор,"Ідентифікатором об’єкта може може бути код ЄДРПОУ балансоутримувача та інвентарний номер об’єкта, що розділені знаком дефіс “-”. Наприклад: 01234567-10000234. Розпорядники можуть використовувати власні ідентифікатори",string,True
inventoryNumber,Інвентарний номер,Інвентарний номер об’єкта. Наприклад: 10000234,string,True
balanceHolderName,Назва балансоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: Міська лікарня №4 Житомирської міської ради",string,True
balanceHolderId,Ідентифікатор балансоутримувача,"Код ЄДРПОУ юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: 01411082. Якщо балансоутримувач відсутній, зазначається: null",string,True
serialNumber,Серійний номер,Серійний номер об’єкта. Наприклад: 12345-67890. У разі відсутності вказати: null,string,False
passportNumber,Номер паспорта,Номер паспорта об'єкта. Наприклад: 12345-67890. У разі відсутності вказати: null,string,False
title,Найменування,"Найменування об'єкта. Наприклад: Apple MacBook Pro 15"" Retina",string,True
model,Модель,Модель об'єкта. Наприклад: Z0RF00052',string,True
producerName,Виробник,Назва виробника об'єкта. Наприклад: Apple Inc,string,True
yearMade,Рік випуску,Рік випуску об'єкта (лише число). Наприклад: 2015,integer,True
quantity,Кількість,Кількість одиниць. Наприклад: 3. Десяткові значення відділяються крапкою. Наприклад: 2.0 ,decimal,True
unitName,Одиниця виміру,"Назва одиниці виміру, наприклад, штука, пара, набір тощо. Наприклад: шт.",string,True
primaryValueAmount,Первісна вартість,"Первісна (переоцінена) в гривнях без зазначення валюти (“грн”, “UAH”). Наприклад: 123000.00. Десяткові значення відділяються крапкою. ",decimal,True
amortizationValueAmount,Сума зносу,"Сума зносу (накопиченої амортизації) в гривнях без зазначення валюти (“грн”, “UAH”). Наприклад: 3000.00. Десяткові значення відділяються крапкою. ",decimal,True
bookValueAmount,Балансова вартість,"Балансова вартість в гривнях без зазначення валюти (“грн”, “UAH”). Наприклад: 120000.00. Десяткові значення відділяються крапкою.",decimal,True
usageDuarationInYears,Корисне використання,Строк корисного використання в роках (лише число). Десяткові значення відділяються крапкою. Наприклад: 10.0 ,decimal,True
