name,title,description,datatype,required
uid,Ідентифікатор,Ідентифікатор системи обліку публічної інформації. Наприклад: 1,string,True
name,Назва ПЗ,"Повна назва програмного забезпечення, що використовується для ведення системи обліку. Наприклад: Система електронного документообігу “АСКОД”",string,True
softwareVersion,Версія ПЗ,Версія програмного забезпечення (далі – ПЗ). Наприклад: 10.8.1,string,True
url,Посилання,"Посилання на веб-ресурс, що дає доступ до даних системи обліку. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/public-info-system/. Якщо доступ до даних через мережу Інтернет не забезпечений, вказати: null",anyURL,False
informationTypes,Види інформації,"Довільний опис видів інформації, що містяться в системі обліку. Наприклад: В системі обліку містяться нормативно-правові акти, угоди, звіти, листи, звернення, прес-реліз, інша інформація",string,True
maintainerName,Відповідальна особа/підрозділ,"Прізвище, ім’я, по батькові відповідальної особи або назва структурного підрозділу, що відповідає за внесення інформації до системи обліку. Наприклад: Департамент публічних комунікацій",string,True
disposerId,Ідентифікатор розпорядника,"Код ЄДРПОУ розпорядника, якому належить система обліку, відповідно до Єдиного державного реєстру юридичних осіб, фізичних осіб-підприємців та громадських формувань (далі – ЄДР). Наприклад: 01234567",string,True
disposerName,Назва розпорядника,Назва розпорядника відповідно до ЄДР. Наприклад: Ужгородська міська рада,string,True
