name,title,description,datatype,required
cadastralId,Ідентифікатор,"Кадастровий номер земельної ділянки. Наприклад: 1234567890:98:123:9876. Якщо кадастровий номер відсутній, вказати номер документа, що засвідчує право власності на земельну ділянку",string,True
custodianName,Назва власника,"Найменування (організаційно-правова форма та назва) юридичної особи, яка є продавцем орендодавцем або уповноваженої ним особи. Наприклад: Департамент земельних ресурсів Маріупольської міської ради",string,True
custodianId,Ідентифікатор власника,"Код ЄДРПОУ юридичної особи, яка є продавцем, орендодавцем або уповноваженої ним особи. Наприклад: 01411082",string,True
userName,Назва користувача,"Найменування (організаційно-правова форма та назва) юридичної особи або прізвище, ім’я та по батькові фізичної особи, яка є покупцем або орендарем земельної ділянки. Наприклад: ТОВ «АгроЛогістика»",string,True
userId,Ідентифікатор користувача,"Код ЄДРПОУ юридичної особи, яка є покупцем або орендарем земельної ділянки. Наприклад: 01411082. Дані реєстраційного номера облікової картки платника податків фізичної особи -підприємця знеособлюються",string,True
normativeValueAmountValue,Нормативна грошова оцінка,"Вартість земельної ділянки у гривнях відповідно до нормативної грошової оцінки земель. Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 98765.40. Десяткові значення відділяються крапкою. ",decimal,True
normativeValueAmountCurrency,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
normativeDate,Дата оцінки,Дата оцінки ділянки у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01,date,True
kvtspzClassId,Код за Класифікацією видів цільового призначення земель класу (КВЦПЗ),"Код класу, цільового призначення земельної ділянки (наказ Державного комітету України із земельних ресурсів від 23 липня 2010 року № 548 “Про затвердження Класифікації видів цільового призначення земель”, зареєстрований в Міністерстві юстиції України 01 листопада 2010 р. за № 1011/18306). Наприклад: 03.07",string,True
kvtspzClassDescription,Назва класу КВЦПЗ,"Назва класу, цільового призначення земельної ділянки (наказ Державного комітету України із земельних ресурсів від 23 липня 2010 року № 548 “Про затвердження Класифікації видів цільового призначення земель”, зареєстрований в Міністерстві юстиції України 01 листопада 2010 р. за № 1011/18306). Наприклад: Для будівництва та обслуговування будівель торгівлі",string,True
ParcelArea,Площа,Площа земельної ділянки у га без зазначення одиниць виміру («га»). Десяткові значення відділяються крапкою. Наприклад: 0.0012. ,decimal,True
contractNumber,Номер договору,Номер договору (без знаку «№»). Наприклад: 123-45,string,True
contractSignedDate,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01,date,True
contractType,Тип договору,"Тип договору може мати одне з чотирьох значень: Купівля-продаж, Оренда, Суперфіцій, Емфітевзис. Наприклад: Оренда",string,True
contractStatus,Статус договору,"Статус договору може мати одне з чотирьох значень: Чинний, Виконаний, Скасований, Розірваний. Наприклад: Чинний",string,True
contractPeriodStartDate,Початок строку,"Дата початку строку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01. У випадку договорів купівлі-продажу, зазначити: null",date,False
contractPeriodEndDate,Завершення строку,"Дата завершення строку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2041-06-01. У випадку договорів купівлі-продажу, зазначити: null",date,False
contractValueAmount,Вартість,"Розмір орендної плати в розрахунку за 1 рік у гривнях. Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 12345.50. Десяткові значення відділяються крапкою. У випадку договорів купівлі-продажу вказати загальну вартість земельної ділянки",decimal,True
contractValuetCurrency,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
contractValuePercentage,Розмір від НГО,Розмір орендної плати у відсотках від нормативної грошової оцінки (НГО). Десяткові значення відділяються крапкою. Наприклад: 4.50. У випадку договорів купівлі-продажу зазначити: null,decimal,False
contractValueDescription,Уточнення вартості,"Додаткова інформація про нарахування вартості за договором. Зокрема, інформація про знижки, пільги, індексацію та інші істотні умови",string,False
contractUrl,Посилання на договір,Посилання на оприлюднений договір у мережі Інтернет (URL). Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/example/,anyURL,True
contractText,Текст,Вказується назва файлу із текстовим вмістом.,string,True
decisionNumber,Номер рішення,У цій та наступних колонках зазначаються реквізити рішення про передачу в користування або приватизацію земельної ділянки. Номер рішення (без знаку №). Наприклад: 501,string,True
decisionDate,Дата рішення,Дата прийняття рішення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,string,True
decisionUrl,Посилання на рішення,"Посилання на копію рішення, що оприлюднена в мережі Інтернет. Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/docs/rish-789",anyURL,True
decisionText,Текст,Вказується назва файлу із текстовим вмістом.,string,True
publisherName,Назва видавника,"Повна назва органу, що прийняв рішення. Наприклад: Черкаська міська рада",string,True
publisherId,Ідентифікатор видавника,"Код ЄДРПОУ органу, що прийняв рішення. Наприклад: 01234567",string,True
