name,title,description,datatype,required
uid,Ідентифікатор,Ідентифікатором платежу може бути номер квитанції або будь-яка інша унікальна комбінація літер і цифр. Наприклад: 123456-123,string,True
contractNumber,Номер договору,"Номер договору, за яким надходить оплата (без знаку «№»). Наприклад: 123-45",string,True
contractSignedDate,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01,date,True
contractCustodianName,Назва управителя,Найменування (організаційно-правова форма та назва) юридичної особи (сторони договору) уповноваженої на управління майном. Наприклад: КП «Регулювання орендних відносин»,string,True
contractCustodianId,Ідентифікатор управителя,Код ЄДРПОУ юридичної особи (сторони договору) уповноваженої на управління майном. Наприклад: 01411082,string,True
contractUserName,Назва користувача,"Найменування (організаційно-правова форма та назва) юридичної особи або прізвище, ім’я, по батькові фізичної особи-підприємця (сторони договору), яка є користувачем (орендарем) об'єкта комунальної власності: Наприклад: Бондар Олександр Анатолійович",string,True
contractUserId,Ідентифікатор користувача,"Код ЄДРПОУ юридичної особи (сторони договору), яка є користувачем (орендарем) об'єкта комунальної власності. Наприклад: 01411082. Дані реєстраційного номера облікової картки платника податків фізичної особи - підприємця знеособлюються",string,True
periodStartDate,Початок періоду,"Дата початку періоду, за який здійснюється оплата у форматі ISO 8601 (рррр-мм-дд). Якщо оплата здійснюється щомісяця, то зазначається перше число місяця. Наприклад: 2018-06-01",date,True
periodEndDate,Кінець періоду,"Дата завершення періоду, за який здійснюється оплата у форматі ISO 8601 (рррр-мм-дд). Якщо оплата здійснюється щомісяця, то зазначається останнє число місяця. Наприклад: 2018-06-30",date,True
amountValue,Сума за договором,"Сума, що нараховується відповідно до умов договору у гривнях без зазначення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. ",decimal,True
currencyCode,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
paymentEndDate,Кінцева дата сплати,"Якщо договором передбачений кінцевий термін, до якого має відбутися сплата (наприклад, до 15-го числа поточного місяця), необхідно вказати його дату у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-10-15. Якщо кінцева дата сплати відсутня, вказати: null",date,False
paymentDate,Дата платежу,"Дата надходження платежу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01. Якщо платіж не надійшов, вказати: null",date,False
paymentamountValue,Сума платежу,"Сума платежу у гривнях без значення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. Якщо платіж не надійшов, вказати: null",decimal,False
debtamountValue,Заборгованість,"Наявна заборгованість у гривнях без значення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. Якщо заборгованість відсутня, вказати: 0",decimal,True
penyamountValue,Пеня,"Нарахована пеня у гривнях без значення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. Якщо пеня відсутня, вказати: 0",decimal,True
penaltyamountValue,Штраф,"Нарахований штраф у гривнях без значення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. Якщо штрафи відсутні, вказати: 0",decimal,True
