name,title,description,datatype,required
number,Номер,Номер загального порядку в черзі на одержання жилих приміщень (ціле число). Наприклад: 19,integer,True
familyName,Прізвище,Вказується прізвище заявника. Наприклад: Ковальчук,string,True
name,Імʼя,Вказується імʼя заявника. Наприклад: Віктор,string,True
additionalName,По батькові ,Вказується по батькові заявника. Наприклад: Зосимович,string,True
recordDecisionDate,Дата рішення про взяття на облік,Дата рішення про взяття на облік у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
recordDecisionNumber,Номер рішення про взяття на облік,Номер рішення про взяття на облік (без знака “№”). Наприклад: 123-р,string,True
priorityDecisionDate,Дата рішення про включення до списку першочерговиків,Дата рішення про включення до списку першочерговиків у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,False
priorityDecisionNumber,Номер рішення про включення до списку першочерговиків,Номер рішення про включення до списку першочерговиків (без знака “№”). Наприклад: 123-р,string,False
allocationDecisionDate,Дата рішення про надання жилого приміщення,Дата рішення про надання жилого приміщення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,False
allocationDecisionNumber,Номер рішення про надання жилого приміщення,Номер рішення про надання жилого приміщення (без знака “№”). Наприклад: 123-р,string,False
exclusionDecisionDate,Дата рішення про зняття з обліку,Дата рішення про зняття з обліку у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,False
exclusionDecisionNumber,Номер рішення про зняття з обліку,Номер рішення про зняття з обліку (без знака “№”). Наприклад: 123-р,string,False
