name,title,description,datatype,required
legalActTitle,Назва нормативного акту,Вказується назва нормативного акту. Наприклад “Конституція України”,string,True
legalActId,Номер нормативного акту,Вказується номер нормативного акту (за наявності). В разі відсутності вказати null. Наприклад: null,string,False
legalActDate,Дата прийняття нормативного акту,Вказується дата прийняття нормативного акту у форматі ISO 8601 (рррр-мм-дд). Наприклад: 1996-06-28,date,True
legalActPublication,Інформація про першу публікацію.,"Вказується інформація про першу публікацію нормативного акту. Наприклад: Відомості Верховної Ради України (ВВР), 1996, № 30, ст. 14",string,True
legalActType,Тип нормативного акту,"Вказується тип нормативного акту: Закон України, наказ міністерства, розпорядження міського голови тощо. Наприклад: Конституція України",string,True
legalActAdopterName,"Назва органу, який прийняв нормативний акт","Вказується назва органу державної влади або місцевого самоврядування, який прийняв нормативний акт. Наприклад: Верховна рада України",string,True
legalActAdopterId,"Код ЄДРПОУ органу, який прийняв нормативний акт","Вказується код ЄДРПОУ органу, який прийняв нормативний акт. Наприклад: 20064120",string,True
legalActStatus,Статус нормативного акту,"Вказується статус нормативного акту: чинний, втратив чинність тощо. Наприклад: чинний",string,True
legalActUrl,"Посилання на нормативний акт, оприлюднений в мережі інтернет","Посилання  на нормативний акт, що оприлюднений у мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/legalact",anyURL,True
text,Текст ,Вказується текст документа або назва файлу із текстовим вмістом.,string,False
