name,title,description,datatype,required
uid,Ідентифікатор показника,Порядковий номер або будь-який інший ідентифікатор показника. Наприклад: 5,string,True
date,Дата зняття показника,Дата зняття показника у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
organizationName,Назва закладу,"Повна назва закладу відповідно до Єдиного державного реєстра юридичних осіб, фізичних осіб-підприємців і громадських формувань (далі – ЄДР). Наприклад: Київський міський пологовий будинок",string,True
organizationId,Ідентифікатор закладу,Код ЄДРПОУ закладу. Наприклад: 01234567,string,True
providerName,Назва постачальника,Повна назва постачальника послуг відповідно до ЄДР. Наприклад: ПАТ «Київтеплоенерго»,string,True
providerId,Ідентифікатор постачальника,Код ЄДРПОУ постачальника послуг. Наприклад: 01234567,string,True
meterNumber,Ідентифікатор лічильника,Заводський номер лічильника або будь-який його ідентифікатор. Наприклад: ЛВ-210/654,string,True
type,Тип послуги,Тип комунальної послуги. Наприклад: Централізоване водопостачання,string,True
quantity,Показник,Показники лічильника або обсяг твердого палива. Наприклад: 100.0 Десяткові значення відділяються крапкою. ,decimal,True
unitName,Одиниця виміру,Назва одиниці виміру показника. Наприклад: кубічний метр,string,True
