name,title,description,datatype,required
uid,Ідентифікатор,Вказується унікальний довільний ідентифікатор зони (майданчика) для вигулу тварин. ,string,True
label,Назва зони для вигулу домашніх тварин для вигулу тварин,"Вказується назва зони для вигулу домашніх тварин, наприклад: Тренувальний майданчик №6",string,True
area,Площа зони для вигулу домашніх тварин,"Вказується площа зони для вигулу домашніх тварин  в метрах квадратних. 
Дробові значення вказуються через крапку.
Наприклад: 100.00",decimal,True
trainingInfrastructure,Інформація про наявність інфраструктури для тренування тварин,"Описується інфраструктура для тренування тварин, за наявності. Якщо відсутня вказати: null.
Наприклад: бар’єри, рампи",string,False
excrementContainers,Інформація про контейнери для збирання екскрементів домашніх тварин,"Вказується, наявність контейнерів для збирання екскрементів домашніх тварин. Якщо так вказується True, якщо ні – False. Наприклад: True",boolean,True
cleaningSchedule,Графік чищення контейнерів для збирання екскрементів домашніх тварин,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка до п’ятниці, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка до п’ятниці), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад: графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00",string,True
fance,Інформація про огородження,"Вказується, чи огороджена зона для вигулу домашніх тварин. Якщо так вказується True, якщо ні – False. Наприклад: True",boolean,True
informationBoards,Наявність Інформаційних табличок,"Вказується, наявність інформаційних табличок. Якщо так вказується True, якщо ні – False. Наприклад: True",boolean,True
workingHours,Режим роботи зони для вигулу домашніх тварин,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка до п’ятниці, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка до п’ятниці), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад: графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00",string,True
balanceHolderName,Назва балансоутримувача,Повна назва юридичної особи балансоутримувача зони Наприклад: КП «Захист тварин»,string,True
balanceHolderId,Код ЄДРПОУ балансоутримувача,Код ЄДРПОУ юридичної особи балансоутримувача зони для вигулу. Наприклад: 01411082,string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта зони для вигулу домашніх тварин. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,"Назва регіону, де розміщена зона для вигулу домашніх тварин. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Район,"Назва району, де розміщена зона для вигулу домашніх тварин. Наприклад: Броварський район. У разі відсутності вказати: null",string,False
addressAdminUnitL4,Територіальна громада,"Назва територіальної громади, де розміщений майданчик. Наприклад: Згурівська. У разі відсутності вказати: null",string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщена зона для вигулу домашніх тварин. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщена зона для вигулу домашніх тварин. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер будівлі,"Номер будівлі (об’єкта), де розміщена зона для вигулу домашніх тварин, може включати числа та букви. Наприклад: 15-А",string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу, де розміщена зона для вигулу домашніх тварин, зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Центральна алея",string,False
lat,Географічна широта,Географічна широта розташування зони для вигулу домашніх тварин. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,True
lon,Географічна довгота,Географічна довгота зони для вигулу домашніх тварин. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,True
