name,title,description,datatype,required
uid,Унікальний ідентифікатор проєкту,"Вказується ідентифікатор петиції. Ідентифікатор довільний, але має бути унікальним для всього ресурсу. Ідентифікатор може складатись із дати подання петиції. Наприклад: 2024-09-04-1",string,True
kind,Категорія проєкту,"Категорія проєкту. Наприклад: малий, середній, великий. Відповідно до Положення про громадський бюджет",string,False
type,Вид проєкту,"Вказується вид проєкту. Наприклад: локальний, загальноміській",string,False
title,Назва проєкту,Вказується назва проєкту. Наприклад: Облаштування спортивного имайданчика,string,True
description,Опис проєкту,Короткий опис проєкту,string,True
url,Посилання,Посилання на перегляд або завантаження повного тексту проєкту. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc,anyURL,True
text,Текст,Вказується назва файлу із текстовим вмістом проекту.,string,True
authorityName,Орган,"Вказується назва органу, до якого подано проєкт. Наприклад: Піщанська сільська рада",string,True
authorityId,Код ЄДРПОУ,"Код ЄДРПОУ органу, до якого подано петицію. Наприклад: 01234567",string,True
authorityCattutc,Код КАТОТТГ,Зазначається код Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад (КАТОТТГ) на територію якої розповсюджуються повноваження органу місцевого самоврядування. Наприклад: UA32140050000046018,string,True
count,"Загальна кількості осіб, які проголосували за проєкт громадського бюджету","Загальна кількості осіб,які проголосували за проєкт громадського бюджету. Наприклад: 250",string,True
creator,"Прізвище, ім'я та по батькові автора (ініціатора) проєкту","Вказується Прізвище, ім'я та по батькові автора проєкту",string,True
status,Статус проєкту,"Статус петиції. Наприклад: триває збір підписів, на розгляді, в стадії реалізації, реалізований",string,True
decisionDate,Дата рішення,Дата рішення про визначення переможця проєктів громадських бюджетів у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30,date,True
decisionUrl,Посилання,Посилання на перегляд рішення про визначення переможця проєктів громадських бюджетів. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc,anyURL,True
decisionText,Текст рішення,Вказується 	 назва файлу із текстовим вмістом про визначення переможця проєктів громадських бюджетів.,string,False
budgetPlan,Проєктний бюджет,"Бюджет проєкту у гривнях вказується без зазначення валюти («грн», «UAH»). Десяткові значення відділяються крапкою. Наприклад: 98765.40.",decimal,True
budgetFact,Фактичний бюджет,"Фактичний бюджет проєкту у гривнях вказується без зазначення валюти («грн», «UAH»). Десяткові значення відділяються крапкою. Наприклад: 98765.40.",decimal,True
projectResposible,Структурний підрозділ відповідальний за реалізацію проєкту,Структурний підрозділ відповідальний за реалізацію проєкту. Наприклад: Управління освіти та науки,string,True
