name,title,description,datatype,required
uid,Унікальний ідентифікатор,"Вказується унікальний ідентифікатор транспортного засобу, це може бути ідентифікатор із системи автоматизованого диспетчерського управління. Наприклад: KY1234",string,True
vehicleNumber,Номерний знак,Реєстраційний номерний знак транспортного засобу зазначається латинськими літерами без пробілів. Наприклад: AB1234EI,string,True
vehicleVin,VIN номер транспортного засобу,"Вказується VIN номер транспортного засобу.
Наприклад: WAUZZZ8AZMA123456",string,True
bodyType,Вид транспортного засобу,Вказується вид транспортного засобу. Наприклад: легковий,string,True
brand,Марка ТЗ,"Марка транспортного засобу
Наприклад: Ford",string,True
model,Модель ТЗ,"Модель транспортного засобу.
Вказується модель автомобіля. Наприклад: Focus",string,True
year,Рік випуску ТЗ,"Рік випуску транспортного засобу.
Дата вказується у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2020-01-02",date,True
agencyId,Ідентифікатор перевізника,Код ЄДРПОУ юридичної особи - перевізника. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця (далі – ФОП) знеособлюються. Наприклад: 01234567,string,True
agencyName,Назва перевізника,"Назва юридичної особи або прізвище, ім’я, по батькові ФОП. Наприклад: Комунальне підприємство «Муніципальна транспортна компанія»",string,True
routeId,Номер маршруту,"Номер маршруту громадського транспорту. Наприклад: 23А. Якщо маршрутів декілька, необхідно розділити значення комою.",string,True
status,Статус транспортного засобу,"Зазначається статус транспортного засобу, чи використовується він для здійснення перевезень. Можливі варіанти: використовується, списано, на ремонті тощо. Наприклад: використовується",string,True
dateFrom,Дата початку використання транспортного засобу,Дата початку використання транспортного засобу у форматі ISO 8601 (рррр-мм-дд). Цей день включається в інтервал. Наприклад: 2018-08-31,date,True
dateUntil,Дата завершення використання транспортного засобу,Дата завершення використання транспортного засобу у форматі ISO 8601 (рррр-мм-дд). Цей день включається в інтервал. Наприклад: 2018-08-31,date,True
capacity,Пасажиромісткість ,Вказується загальна пасажиромісткість транспортного засобу цілим числом. Наприклад: 54,integer,True
capacity_seated,Кількість місць для сидіння,"Вказується кількість місць для сидіння, цілим числом. Наприклад: 26",integer,True
capacity_standing,Кількість місць для стояння,"Вказується кількість місць для стояння, цілим числом. Наприклад: 28",integer,True
wheelchairAccessible,Доступність,"Можливість проїзду для маломобільних груп населення кодується цифрами: 0 — невідомо, 1 — хоча б один пасажир, що належить до маломобільних груп, може здійснити поїздку; 2 — немає можливості проїзду для маломобільних груп. Наприклад: 1",integer,True
isLowFloor,Наявність низької підлоги,"Вказується наявність низької підлоги у транспортного засобу, що полегшує використання такого засобу маломобільними пасажирами. Якщо так, вказується True, якщо ні – False. Наприклад: True",boolean,True
bikesAllowed,Перевезення велосипедів,"Для позначення можливості перевезення велосипедів використовуються кодування: 0 – невідомо, 1 – можна взяти в поїздку щонайменше 1 велосипед, 2 – перевезення велосипедів заборонено. Наприклад: 1",integer,True
