name,title,description,datatype,required
id,Ідентифікатор,Код ЄДРПОУ перевізника. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця знеособлюються. Також ідентифікаторами можуть бути скорочені назви або системні коди. Наприклад: 01234567,string,True
name,Назва,Найменування (організаційно-правова форма та назва) юридичної особи- перевізника. Наприклад: Комунальне підприємство «Муніципальна транспортна компанія»,string,True
homepage,Веб-сайт,Посилання на офіційний веб-сайт перевізника. Посилання має починатися з http:// або https://. Наприклад: https://www.example.com.ua/,anyURL,True
timezone,Часовий пояс,"Часовий пояс, в якому організація здійснює перевезення.
У колонці необхідно зазначити Europe/Kyiv. Наприклад: Europe/Kyiv",string,True
language,Мова,Мова надання послуг відповідно до ISO 639-1. Для української мови необхідно зазначити uk. Наприклад: uk,string,False
telephone,Телефон,"Номер має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. У електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс). У випадку кількох номерів телефону значення розділити комою",string,False
email,Адреса електронної пошти,Адреса електронної пошти перевізника. Наприклад: example@example.com,string,False
fareUrl,Сервіс придбання квитків,Посилання на електронний сервіс придбання проїзних документів. Посилання має починатися з http:// або https://. Наприклад: https://www.example.com.ua/,anyURL,False
