name,title,description,datatype,required
uid,Ідентифікатор проекту,Унікальний ідентифікатор дорожнього проекту. Складається з ідентифікатора самого проекту та локального ідентифікатора,string,True
updatedDate,Дата оновлення,Дата останнього оновлення даних за проектом.,date,True
object,Об'єкт робіт,Вказується об’єкт робіт. Наприклад: дорога,string,True
roadId,Індекс дороги,Вказується індекс дороги. Наприклад: Т-21-11,string,True
roadKilometerMarker,Кілометрова прив`язка,Вказується кілометрова прив’язка проекту. Наприклад км 1 км + 200 - 2 км + 200,string,False
type,Вид робіт,Вказується вид робіт. Наприклад: Капітальний ремонт,string,True
describtion,Опис проекту,"Вказується короткий опис дорожнього проекту. Наприклад: забезпечення проїзду автомобільною дорогою, або забезпечення під`їзду до новозбудованої амбулаторії",string,True
roadCategory,Категорія дороги,Вказується категорія дороги. Наприклад: 3,string,False
roadType,Значення дороги,Вказується значення дороги. Наприклад: територіальна,string,False
streetCategory,Категорія вулиці,Вказується категорія вулиці. Наприклад: житлова вулиця,string,False
streetType,Значення вулиці,Вказується значення вулиці. Наприклад: загальноміська,string,False
length,Протяжність ділянки ремонту (в км),"Вказується протяжність ділянки дороги, яка підлягає ремонту. Одиниці виміру не зазначаються, протяжність вказується в кілометрах. Наприклад: 127.0",decimal,True
area,Площа ділянки ремонту (м²),"Вказується площа ділянки ремонту в м², одиниці виміру не зазначаються. Наприклад: 1 270 000.0",decimal,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено: Україна.,string,True
addressAdminUnitL2,Область,Вказується область в якій проводиться ремонт.,string,True
addressAdminUnitL3,Район	,Вказується район в якому проводиться ремонт,string,True
finalCost,Остаточна вартість робіт за проектом (грн),"Вказується остаточна вартість робіт за проектом в гривнях, одиниці виміру не зазначаються, значення не розділяються пробілами, в якості десяткового розділювача використовується крапка. Наприклад: 300000000.00",decimal,True
statusTime,Статус проекту (поточний) відносно графіку виконання робіт,Вказується поточний статус ремонту відповідно до графіку виконання робіт,string,True
statusFin,Статус проекту (поточний) відносно витрачених коштів (%),"Вказуються поточний відсоток відносно витрачених коштів на проведення робіт, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 50.0",decimal,True
coatingType,Тип покриття,Вказується тип покриття дороги після ремонту. Наприклад: асфальтобетонне,string,True
warrantyPeriod,"Гарантійний термін покриття, років ","Вказується гарантійний термін на покриття дороги у роках, одиниці виміру не зазначаються. Наприклад: 25.0",decimal,True
worksStartType,Тип документу про початок робіт,"Вказується тип документу про початок робіт, наприклад: дозвіл на виконання будівельних робіт",string,True
worksStartDate,Дата документу про початок робіт,Вказується дата документу про початок робіт у  форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30,date,True
worksStartId,Реєстраційний номер документу про початок робіт,Вказується реєстраційний номер із системи e-construction. Наприклад: ІУ012211008854,string,True
objectClass,Клас наслідків об`єкту,Вказується клас наслідків об'єкта. Наприклад: СС2,string,True
permitUrl,Посилання на e-construction,Вказується посилання на інформацію про документи про початок робіт за об`єктом в системі e-construction. Посилання (URL) на декларацію про готовність об'єкту до експлуатації. Посилання повинні починатися з http:// або https://. Наприклад: https://e-construction.gov.ua/permits_doc_detail/2445124294569624799. У випадку кількох посилань розділити значення комами,anyURL,True
permitText,Текст,Вказується назва файлу із текстовим вмістом.,string,False
declarationDate,Дата декларації про готовність об'єкту до експлуатації,Дата декларації про готовність об’єкту до експлуатації у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30,date,True
declarationNumber,Номер декларації про готовність об'єкту до експлуатації,Вказується номер екларації про готовність об’єкту до експлуатації. Наприклад: 2021-Т,string,True
declarationUrl,Посилання на декларацію про готовність об'єкту до експлуатації,Посилання (URL) на декларацію про готовність об'єкту до експлуатації. Посилання повинні починатися з http:// або https://. Наприклад: https://www.example.com/. У випадку кількох посилань розділити значення комами,anyURL,False
declarationText,Текст,Вказується назва файлу із текстовим вмістом.,string,False
acceptanceActDate,Дата акту прийняття робіт,Дата акту прийняття робіт у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30,date,True
acceptanceActNumber,Номер акту прийняття робіт,Вказується номер акту прийняття робіт. Наприклад: 2021-ТН,string,True
acceptanceActUrl,Посилання на акт прийняття робіт,Посилання (URL) на акт прийняття робіт. Посилання повинні починатися з http:// або https://. Наприклад: https://www.example.com/. У випадку кількох посилань розділити значення комами,anyURL,False
acceptanceActText,Текст,Вказується назва файлу із текстовим вмістом.,string,False
qualityMonitoringDate,Дата протоколу останнього проведеного моніторингу якості,Вказується дата протоколу останнього проведеного моніторингу якості у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30,date,False
qualityMonitoringNumber,Номер протоколу останнього проведеного моніторингу якості,Вказується номер протоколу останнього проведеного моніторингу якості. Наприклад: 2021-Я,string,False
qualityMonitoringUrl,Протокол моніторингу якості (посилання),Посилання (URL) на протоколу останнього проведеного моніторингу якості. Посилання повинні починатися з http:// або https://. Наприклад: https://www.example.com/. У випадку кількох посилань розділити значення комами,anyURL,False
qualityMonitoringText,Текст,Вказується назва файлу із текстовим вмістом,string,False
customerName,Замовник Назва,Вказується назва замовника на проведення робіт,string,True
customerId,Замовник ЄДРПОУ,Вказується код ЄДРПОУ замовника проведення робіт. Наприклад: 01234567,string,True
supervisorName,"Назва установи, яка здійснює технічний нагляд","Вказується назва установи, яка здійснює технічний нагляд",string,True
supervisorId,"Код ЄДРПОУ установи, яка здійснює технічний нагляд","Вказується код ЄДРПОУ установи, яка здійснює технічний нагляд. Наприклад: 01234567",string,True
supervisorPersonPosition,"Посада особи, яка здійснює технічний нагляд","Вказується посада особи, яка здійснює технічний нагляд",string,True
supervisorPersonName,"Прізвище, ім’я та по батькові особи, яка здійснює технічний нагляд","Вказується прізвище, ім’я, по батькові особи, яка здійснює технічний нагляд",string,True
supervisorSertificat,"Номер Сертифікату інженера технагляду, який здійснює нагляд",Вказується номер сертифікату інженера технічного нагляду,string,True
