name,title,description,datatype,required
approvDocName,"Назва документу, яким затверджено проведення робіт","Вказується назва документу, яким затверджено проведення робіт. Наприклад: Постанова Кабінету Міністрів України",string,True
approvDocNumber,Номер документу яким затверджено проведення робіт,Вказується номер документу яким затверджено проведення робіт. Наприклад: 2020-Д,string,True
approvDocDate,Дата документу яким затверджено проведення робіт,Вказується дата документу яким затверджено проведення робіт у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30,date,True
approvDocUrl,Посилання на документ яким затверджено проведення робіт,Посилання (URL) на документ яким затверджено проведення робіт. Посилання повинні починатися з http:// або https://. Наприклад: https://www.example.com/. У випадку кількох посилань розділити значення комами,anyURL,False
approvDocText,Текст,Вказується назва файлу із текстовим вмістом.,string,False
totalBudgetSum,Загальна сума фінансування (грн),"Вказується загальна сума фінансування в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,True
totalBudgetCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
stateBudgetSum,Сума фінансування з Державного бюджету (грн),"Вказується сума фінансування з Державного бюджету в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,True
stateBudgetCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
localBudgetSum,Сума фінансування з Місцевого бюджету (грн),"Вказується сума фінансування з Місцевого бюджету в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 0.0",decimal,True
localBudgetCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
SFRDSum,Сума фінансування з Державного фонду реконструкції та розвитку,"Вказується сума фінансування з Державного фонду реконструкції та розвитку в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 0.0",decimal,True
SFRDCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
otherSources,Інші джерела фінансування,Вказуються інші джерела фінансування. Наприклад: Приватні інвестиції.,string,True
otherSourcesSum,Сума фінансування із інших джерел (грн),"Вказується сума фінансування з інших джерел в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 100000000.0",decimal,True
otherSourcesCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
grafUrl,Посилання на графічні матеріали,Надаються посилання на супровідні графічні матеріали. Посилання повинні починатися з http:// або https://. Наприклад: https://www.example.com/. У випадку кількох посилань розділити значення комами. ,anyURL,False
grafText,Текст,Вказується назва файлу із текстовим вмістом.,string,False
contractotName,Назва організації Підрядника,Вказується назва організація - виконавця робіт. ,string,True
contractorId,Код ЄДРПОУ організації Підрядника,Вказується код ЄДРПОУ виконавця проведення робіт. Наприклад: 40148165,string,True
contractorContractNumber,Номер договору з Підрядником,Вказується номер договору з Підрядником,string,True
contractorContractDate,Дата договору з Підрядником,Вказується дата договору з Підрядником у  форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30,date,True
contractSubject,Предмет договору,Вказується предмет договору із узагальненим обсягом робіт,string,True
contractorContractCost,Вартість договору з Підрядником,"Вказується вартість договору з Підрядником в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,True
contractorContractCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
contractorContractPayment,Оплата за договором,"Вказується сума проведеної оплати за договором в гривнях, станом на дату публікації набору, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,True
contractorContractPaymentCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
contractorTenderId,Ідентифікатор тендера Виконання робіт,Вказується ID тендеру за яким проводилась закупівля виконання будівельних робіт (договір з Підрядником). Наприклад: 25e535cf7fab4faa85b0da5ea8252b43,string,True
contractorLitId,"Ідентифікатор лоту
тендера Виконання робіт
",Якщо тендерна пропозиція розділена на кілька лотів - вказати ідентифікатор лоту за яким було обрано переможця. В іншому випадку вказується null. Наприклад: 1fca8c95f0614ddd9cf7ab50d3e4469c,string,False
projectorName,Назва організації Проектанта,"Вказується назва організації, яка виконує проектно-кошторисну документацію",string,True
projectorId,Код ЄДРПОУ організації Проектанта,Вказується код ЄДРПОУ виконавця проектно-кошторисної документації. Дані реєстраційного номера облікової картки платника податків (далі — РНОКПП) фізичної особи-підприємця (далі — ФОП) знеособлюються,string,True
projectorContractNumber,Номер договору з Проектантом,Вказується номер договору з Проектантом,string,True
projectorContractDate,Дата договору з Проектантом,Вказується дата договору з Проектантом у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30.,date,True
projectorContractSubject,Предмет договору,Вказується опис предмету договору із узагальненим обсягом робіт/послуг,string,True
projectorContractCost,Вартість договору з Проектантом,"Вказується вартість договору з Проектантом в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,True
projectorContractCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
projectorContractPayment,Оплата за договором,"Вказується сума проведеної оплати за договором в гривнях, станом на дату публікації набору, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,True
projectorContractPaymentCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
projectTenderId,Ідентифікатор тендера виготовлення проектно-кошторисної документації,Вказується ID тендеру за яким проводилась закупівля виконання проектних робіт (договір з Проектантом). Наприклад: 25e535cf7fab4faa85b0da5ea8252b43,string,True
projectLitId,"Ідентифікатор лоту
тендера виготовлення проектно-кошторисної документації",Якщо тендерна пропозиція розділена на кілька лотів - вказати ідентифікатор лоту за яким було обрано переможця. В іншому випадку вказується null. Наприклад: 1fca8c95f0614ddd9cf7ab50d3e4469c,string,False
engineerName,Назва організації Інженера,"Вказується назва організації, яка виконує функції інженера (технагляд, науковий супровід, контроль/моніторинг якості, випробування, обстеження, інші послуги за проектом в тому числі інженера-консультанта)",string,False
engineerId,Код ЄДРПОУ організації Інженера,"Вказується код ЄДРПОУ організації, яка виконує функції інженерного супроводу проекту. Дані РНОКПП ФОП знеособлюються",string,False
engineerContractNumber,Номер договору з Інженером,Вказується номер договору з Інженером,string,False
engineerContractDate,Дата договору з Інженером,Вказується дата договору з Інженером у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30.,date,False
engineerContractSubject,Предмет договору,"Вказується опис предмету договору, з узагальненим обсягом робіт",string,False
engineerContractCost,Вартість договору з Інженером,"Вказується вартість договору з Інженером в гривнях, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,False
engineerContractCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,False
engineerContractPayment,Оплата за договором,"Вказується сума проведеної оплати за договором в гривнях, станом на дату публікації набору, одиниці виміру не зазначаються, в якості десяткового роздільника використовується крапка. Наприклад: 3000000000.0",decimal,False
engineerContractPaymentCurrency,Код валюти,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,False
engineerTenderId,Ідентифікатор тендера Інженер,Вказується ID тендеру за яким проводилась закупівля послуг Інженера (договір з Інженером). Наприклад: 25e535cf7fab4faa85b0da5ea8252b43,string,False
engineerLitId,Ідентифікатор лоту тендера на Інженера,Якщо тендерна пропозиція розділена на кілька лотів - вказати ідентифікатор лоту за яким було обрано переможця. В іншому випадку вказується: null. Наприклад: 1fca8c95f0614ddd9cf7ab50d3e4469c,string,False
