name,title,description,datatype,required
dateTime,Дата та час отримання показника,Дата та час аналізу повітря у форматі ISO 8601 (рррр-мм-ддTгг:хх). Наприклад: 2019-05-30Т10:45,dateTime,True
landfillUid,Ідентифікатор полігону,"Вказується унікальний ідентифікатор полігону, поле uid ресурсу landfill",string,True
indicatorName,Ідентифікатор параметра,Вказується назва індикатора за яким проводиться вимірювання. Наприклад: Рівень сірководню в повітрі,string,True
value,Значення показника,"Значення показника, зазначається лише значення без одиниць вимірювання. Роздільник десяткових значень - крапка. Наприклад: 0.0003",decimal,False
unitName,Одиниці вимірювання,"Одиниці вимірювання, які застосовуються для цього параметру. Наприклад: ppm",string,True
