name,title,description,datatype,required
id,Номер дозволу,Номер дозволу на на розміщення зовнішньої реклами. Наприклад: 123,string,True
issuedDate,Дата видання дозволу,Дата дозволу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
authorityName,Назва органу,"Назва органу, який видав дозвіл. Наприклад: Департамент містобудування Луцької ОДА",string,True
authorityId,Ідентифікатор органу,"Код ЄДРПОУ органу, який видав дозвіл. Наприклад: 01234567",string,True
distributorName,Ім'я або назва розповсюджувача,"Прізвище, ім’я, по батькові або назва розповсюджувача зовнішньої реклами. Наприклад: ТОВ «Київреклама»",string,True
distributorId,Ідентифікатор  розповсюджувача,Код ЄДРПОУ розповсюджувача. Наприклад: 01234567. Дані РНОКПП ФОП знеособлюються,string,True
status,Статус,"Статус дозволу може мати одне зі значень: Чинний, Втратив чинність за терміном дії, Анульований, Перевиданий. Наприклад: Чинний",string,True
validFrom,Дата початку дії,"Дата, з якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2017-05-30",date,True
validThrough,Дата завершення дії,"Дата, до якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2020-06-30",date,True
contractNum,Номер договору,Номер договору на тимчасове користування місцем розміщення. Наприклад: 2018-21а,string,True
contractDateSigned,Дата договору,Дата укладання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-06-30,date,True
type,Вид,"Вид рекламного засобу, відповідно до переліку видів, що використовується розпорядником. Наприклад: Стенд, Щит, Панно, Транспарант, Трол, Короб, Табло, Екран тощо. Наприклад: Щит",string,True
planesValue,Кількість рекламних площин,Кількість рекламних площин. Наприклад: 2,integer,True
horizontalSize,Розмір по горизонталі,Розмір рекламного засобу по горизонталі в метрах. Число вказується без зазначення одиниці вимірювання («м.»). Наприклад: 20. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці,decimal,True
verticalSize,Розмір по вертикалі,Розмір рекламного засобу по вертикалі в метрах. Число вказується без зазначення одиниці вимірювання («м.»). Наприклад: 20. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці,decimal,True
area,Площа,Площа рекламного засобу у квадратних метрах. Число вказується без зазначення одиниці вимірювання («кв. м.»). Наприклад: 200. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці,decimal,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,Назва регіону місця розташування рекламного засобу. Наприклад: Полтавська область,string,True
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати: null,string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
roadId,Індекс дороги,"Індекс дороги відповідно до Переліку, затвердженого Постановою Кабінету Міністрів України від 30 січня 2019 року № 55 «Про затвердження переліку автомобільних доріг загального користування державного значення». Наприклад: М-05",string,True
roadName,Назва дороги,"Назва дороги відповідно до Переліку, затвердженого Постановою Кабінету Міністрів України від № 55 30.01.2019. Наприклад: Київ – Одеса",string,True
roadKilometerMarker,Пікетна прив’язка,"Кілометр дороги (пікет) плюс відстань у метрах до рекламного засобу. Наприклад: рекламний засіб, що знаходиться на відстані 510 м. від 102 км. дороги, матиме пікетну прив'язку 102 км+510",string,True
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: засіб закріплений на автобусній зупинці «Широке»",string,False
lat,Географічна широта,Географічна широта місця розташування рекламного засобу. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,False
lon,Географічна довгота,Географічна довгота місця розташування рекламного засобу. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,False
imageUrl,Фото,"Посилання на фото місця розташування рекламного засобу, що оприлюднене в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://loda.gov.ua/ad/123.jpg",anyURL,False
