name;title;description;datatype;required
uid;№ з/п;Номер загального порядку або будь-який інший унікальний ідентифікатор;string;TRUE
authorityName;Найменування (організаційно-правова форма та назва) юридичної особи ;Найменування відповідно до ЄДР або установчих документів. Наприклад: Управління освіти Бориспільської міської ради;string;TRUE
authorityId;Ідентифікатор;Код ЄДРПОУ в Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (ЄДР). Наприклад: 01234567;string;TRUE
positionName;Назва посади;Найменування посади (професії) в організаційній структурі розпорядника. Наприклад: Головний спеціаліст;string;TRUE
unitName;Назва структурного підрозділу;Повна назва структурного підрозділу, до якого належить посада (професія). Наприклад: Департамент стратегічного розвитку та інтеграції;string;TRUE
unitId;Ідентифікатор структурного підрозділу;Код ЄДРПОУ в Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (ЄДР), якщо структурний підрозділ юридична особа. Наприклад: 01234567;string;FALSE
value;Кількість штатних одиниць;Загальна кількість штатних одиниць. Десяткові значення відділяються крапкою. Наприклад: 4.5;decimal;TRUE
