name,title,description,datatype,required
uid,Ідентифікатор документа,"Унікальним ідентифікатором документа є ідентифікатор основної угоди з таблиці contracts (колонка uid) та номер документа, що розділені знаком дефіс. Наприклад: 345/п-2018-1. Розпорядники можуть використовувати власні ідентифікатори",string,True
contractUid,Ідентифікатор основного договору,Ідентифікатор основної угоди з таблиці contracts (колонка uid). Наприклад: 345/п-2018-1.,string,True
number,Номер,Номер документа (без знаку “№”). Наприклад: 1,string,True
dateSigned,Дата підписання,Дата підписання документа у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
type,Тип,"Тип документа: Акт, Додаткова угода, Протокол, тощо. Наприклад: Додаткова угода",string,True
title,Назва,Повна назва документа. Наприклад: Додаткова угода №1 до Інвестиційного договору №345/п,string,True
amountValue,Вартість додаткового документу,"Очікувана вартість додаткового документу гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 120000.,00.",decimal,False
description,Опис,"Короткий опис змісту документа. Наприклад: Додатковою угодою продовжений строк дії Договору до 31 грудня 2019 року, але в будь-якому разі до повного виконання сторонами своїх зобов’язань",string,True
url,Посилання,Посилання на перегляд або завантаження документа. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc,anyURL,True
