name,title,description,datatype,required
landfillUid,Ідентифікатор полігону,"Вказується унікальний ідентифікатор полігону, поле uid ресурсу landfill",string,True
carNumber,Номер державної реєстрації автомобіля,Вказується номер державної реєстрації автомобіля. Наприклад: АА 7777 КВ,string,True
carVin,VIN-номер автомобіля,"Вказується ідентифікаційний номер транспортного засобу. 
Наприклад: 1ABCD23EFGH456789",string,True
carWaybill,Дорожній лист транспортного засобу,"Посилання на дорожній лист, оприлюднений в мережі Інтернет",anyURL,True
carConsignment,Торгівельно - транспортна накладна,"Посилання на ТТН, оприлюднену в мережі інтернет.
Якщо посилання відсутнє вказати: null",anyURL,True
entryTime,Час реєстрації заїзду автомобіля,Дата та час реєстрації заїзду автомобіля у форматі ISO 8601 (рррр-мм-ддTгг:хх). Наприклад: 2019-05-30Т10:45,dateTime,True
carOwnerName,Назва компанії якій належить автомобіль,"Повна назва юридичної особи або прізвище, ім’я та по батькові ФОП – балансоутримувача контейнерного майданчика. Наприклад: КП «Благоустрій»",string,True
carOwnerId,"Код ЄДРПОУ компанії, якій належить автомобіль",Код ЄДРПОУ юридичної особи власника автомобіля. Наприклад: 01411082. Дані РНОКПП ФОП знеособлюються,string,True
wasteType,Склад відходів,"Вказуються  типи відходів, які завезені. Наприклад: тверді побутові відходи, будівельні відходи, харчові відходи, відходи тваринництва тощо",string,True
wasteWeight,Вага завезених відходів,Вказується вага завезених відходів в кілограмах. Роздільник десяткових значень — крапка. Наприклад: 5000.0,decimal,True
isCarUnload,Чи допущено автомобіль до розвантаження,"Вказується чи допущено автомобіль до розвантаження. Якщо так - вказати True, якщо ні - False.
Наприклад: True",boolean,True
