name,title,description,datatype,required
uid,Унікальний ідентифікатор ,"Вказується ідентифікатор питання порядку денного. Ідентифікатор довільний, але має бути унікальним для всього ресурсу. Ідентифікатор може складатись із дати засідання та номера питання порядку денного. Наприклад: 2024-09-04-1",string,True
date,Дата пленарного засідання,Дата проведення пленарного засідання у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30,date,True
authorityName,Орган,"Вказується назва органу, в якому проводиться засідання. . Наприклад: Піщанська сільська рада ",string,True
authorityId,Код ЄДРПОУ,Код ЄДРПОУ органу в якому проводиться засідання. . Наприклад: 01234567,string,True
authorityCattutc,Код КАТОТТГ,Зазначається код Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад (КАТОТТГ) на територію якої розповсюджуються повноваження органу місцевого самоврядування. Наприклад: UA32140050000046018,string,True
convocation,Скликання,Вказується номер скликання органу місцевого самоврядування. Наприклад: 6 скликання ,string,True
legislativeSession,Сесія,Вказується сесія на якій розглядаються питання порядку денного. Наприклад: 3 сесія,string,True
number,Номер питання,Вказується номер питання відповідно до порядку денного засідання. Наприклад: 7,integer,True
title,Питання порядку денного пленарного засідання,Вказується назва питання пленарного засідання. Наприклад: Про затвердження Переліків адміністративних послуг,string,True
projectNumber,Номер проєкту рішення,Вказується номер проєкту рішення за яке відбувається голосування. Наприклад: 757/2,string,False
votingFor,Голоси “За”,"Кількість осіб, які проголосували “ЗА”. Зазначається цілим числом. Наприклад: 7",integer,False
votingAgainst,Голоси “Проти”,"Кількість осіб, які проголосували “Проти”. Зазначається цілим числом. Наприклад: 5",integer,False
votingAbstain,Голоси “Утрималися”,"Кількість осіб, які проголосували “Утримались”. Зазначається цілим числом. Наприклад: 3",integer,False
notVoting,Не голосували,"Кількість осіб, які не голосували. Зазначається цілим числом. Наприклад: 4",integer,False
absent,Відсутні,"Кількість осіб, які були відсутні під час голосування. Зазначається цілим числом. Наприклад: 2",integer,False
votingResult,Результати голосування,"Результати голосування: “Прийнято”, “Не прийнято”, “Не голосували”, “Не розглядали”",string,True
textUrl,Посилання на документ оприлюднений в мережі Інтернет.,Посилання на оприлюднений документ. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/,anyURL,False
text,Назва файлу із прийнятим рішенням,"Вказується назва файлу із прийнятим рішенням та додатками до нього, які оприлюднюються в архіві. Наприклад: 757-2.html",string,True
