name,title,description,datatype,required
serviceUid,Ідентифікатор,Ідентифікатор тижневого графіка роботи маршруту громадського транспорту. Ідентифікатором може бути довільна послідовність літер та чисел. Наприклад: пн-вт-ср-чт-пт,string,True
monday,Понеділок,"Якщо маршрут функціонує в понеділок, вказати 1, якщо ні – 0. Наприклад: 1",integer,True
tuesday,Вівторок,"Якщо маршрут функціонує у вівторок, вказати 1, якщо ні – 0. Наприклад: 1",integer,True
wednesday,Середа,"Якщо маршрут функціонує в середу, вказати 1, якщо ні – 0. Наприклад: 1",integer,True
thursday,Четвер,"Якщо маршрут функціонує в четвер, вказати 1, якщо ні – 0. Наприклад: 1",integer,True
friday,П’ятниця,"Якщо маршрут функціонує в п’ятницю, вказати 1, якщо ні – 0. Наприклад: 1",integer,True
saturday,Субота,"Якщо маршрут функціонує в суботу, вказати 1, якщо ні – 0. Наприклад: 0",integer,True
sunday,Неділя,"Якщо маршрут функціонує в неділю, вказати 1, якщо ні – 0. Наприклад: 1",integer,True
startDate,Початок дії графіку,Дата початку дії графіка у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01,date,True
endDate,Завершення дії графіку,Дата завершення дії графіка у форматі ISO 8601 (рррр-мм-дд). Цей день включається в інтервал. Наприклад: 2018-08-31,date,True
