name,title,description,datatype,required
uid,Ідентифікатор,"Ідентифікатором змін до програми є номер нормативно-правового акта, яким вони затверджені, та дата прийняття у форматі ISO 8601 (рррр-мм-дд), що розділені символом дефіс. Наприклад: 123-2019-05-29. Розпорядники можуть використовувати також власні унікальні ідентифікатори",string,True
programId,Ідентифікатор програми,"Ідентифікатор програми, до якої внесені зміни з колонки uid таблиці programs. Наприклад: 719-2019-05-29",string,True
programTitle,Найменування програми,"Найменування програми, до якої внесені зміни з колонки programTitle таблиці programs Наприклад: Програма розвитку позашкільної освіти на 2018 – 2021 роки",string,True
legalActType,Вид розпорядчого документа,"Вид розпорядчого документа, яким затверджені зміни до програми. Наприклад: Наказ",string,True
legalActTitle,Назва розпорядчого документа,"Назва розпорядчого документа, яким затверджені зміни до програми. Наприклад: Про внесення змін до програми розвитку позашкільної освіти на 2018 – 2021 роки",string,True
legalActAccepted,Дата ухвалення розпорядчого документа,Дата ухвалення розпорядчого документа у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
legalActNumber,Номер розпорядчого документа,Номер розпорядчого документа. Наприклад: 1234-р,string,True
legalActUrl,Посилання на розпорядчий документ,"Посилання на розпорядчий документ, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc",anyURL,True
publisherName,Назва видавника,"Повна назва органу, що затвердив розпорядчий документ. Наприклад: Луцька міська рада",string,True
publisherId,Ідентифікатор видавника,"Код ЄДРПОУ органу, що затвердив розпорядчий документ. Наприклад: 01234567",string,True
