name,title,description,datatype,required
uid,Ідентифікатор насадження,"Ідентифікатором насадження є номер акта й порядковий номер насадження в акті, що розділені символом дефіс. Наприклад: насадження з акта №101/03 під порядковим номером 2, матиме ідентифікатор 101/03-2",string,True
number,Номер акта,Номер акта обстеження зелених насаджень (без знаку №). Наприклад: 101/03,string,True
issuedDate,Дата видачі,Дата видачі акта у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
purpose,Причина,Причина обстеження зелених насаджень у довільній формі. Наприклад: Відведення земельної ділянки під забудову,string,True
applicantName,Ім'я або назва заявника,"Прізвище, ім’я, по батькові або назва юридичної особи заявника. Наприклад: Руденко Олександр Іванович",string,True
applicantId,Номер заявника у ЄДР,Код ЄДРПОУ юридичної особи - заявника. Наприклад: 01234567. Дані реєстраційного номера облікової картки платника податків (далі – РНОКПП) фізичної особи-підприємця (далі – ФОП) знеособлюються,string,True
authorityName,"Назва органу, який видав акт",Назва компетентного органу. Наприклад: Департамент благоустрою Дніпровської міської ради,string,True
authorityId,"Ідентифікатор органу, який вдав акт",Код ЄДРПОУ компетентного органу. Наприклад: 01234567,string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс найближчої адреси,"Поштовий індекс адреси, за якою розміщене насадження. Наприклад: 01234",string,True
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна,string,True
addressAdminUnitL2,Назва регіону,"Назва регіону, де розміщене насадження. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Назва району,"Назва району, де розміщене насадження. Наприклад: Броварський район. У разі відсутності вказати: null",string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
addressPostName,"Назва населеного пункту, в якому знаходиться насадження","Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressObjectName,Назва об’єкта,"Назва природного об’єкта, де розміщене насадження (парку, лісопарку, пляжу тощо). Наприклад: Центральний парк. У разі відсутності вказати: null",string,False
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська",string,False
addressLocatorDesignator,Номер будівлі,Номер об’єкта (будівлі) може включати числа та букви. Наприклад: 15-А,string,False
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
addressDescription,Опис розміщення,"Детальніший опис розміщення насадження. Наприклад: у дворі будинку, вздовж набережної, вхідна алея",string,False
lat,Географічна широта,Географічна широта розміщення насадження або адреси. Розділювач десяткових значень – крапка. Наприклад: 50.457718,decimal,False
lon,Географічна довгота,Географічна довгота розміщення насадження або адреси. Розділювач десяткових значень — крапка. Наприклад: 30.487021,decimal,False
type,Тип насадження,"Тип насадження може мати одне зі значень: Дерево, Кущ, Газон, Квітник. Наприклад: Дерево",string,True
species,Вид насадження,Назва виду рослин у насадженні. Наприклад: липа серцелиста,string,True
condition,Якісний стан,"Якісний стан зелених насаджень може мати одне зі значень: добрий, задовільний, незадовільний. Наприклад: незадовільний",string,True
value,Кількість одиниць або площа,"Кількість дерев, кущів або площа газону, клумби. Потрібно зазначити лише число без одиниць виміру (од., кв. м.). Наприклад: 114.6. Десяткові значення відділяються крапкою.",decimal,True
unitName,Одиниця виміру,Одиницею виміру може бути гектар (га.) метр квадратний (кв. м.) або штука (шт.). Наприклад: шт.,string,True
ageValue,Вік,Точний або приблизний вік насадження (цілих років). Наприклад: 70,integer,False
heightValue,Висота,Приблизна висота насадження в метрах. Наприклад: 5.0. Десяткові значення відділяються крапкою. ,decimal,False
diameterValue,Діаметр,Діаметр стовбура на висоті 1.3 метра від поверхні землі у сантиметрах. Наприклад: 20.0. Десяткові значення відділяються крапкою.,decimal,False
serviceType,Тип робіт,"У колонці має бути одне зі значень: Підлягає зрізуванню, Підлягає пересаджуванню. Наприклад: Підлягає зрізуванню",string,True
