name,title,description,datatype,required
uid,Ідентифікатор,"Ідентифікатором цільової програми є номер нормативно-правового акта, яким затверджена її програма, та дата його прийняття у форматі ISO 8601 (рррр-мм-дд), що розділені символом дефіс. Наприклад, цільова програма, затверджена рішенням №719 від 29 травня 2014 року, матиме ідентифікатор 719-2014-05-29. Розпорядники можуть використовувати також власні унікальні ідентифікатори",string,True
title,Найменування,Найменування програми. Наприклад: Програма розвитку позашкільної освіти на 2018 – 2021 роки,string,True
validFrom,Початок,"Календарний рік (лише число), з початку якого відбувається впровадження програми. Наприклад: 2017",date,True
validThrough,Завершення,"Календарний рік (лише число), до завершення якого відбувається впровадження програми. Наприклад: 2017",date,True
status,Статус,"Статус програми може мати одне зі значень: Чинна, Завершена, Скасована. Наприклад: Чинна",string,True
executantName,Найменування виконавця,Найменування відповідального виконавця програми. Наприклад: Департамент освіти Луцької міської ради,string,True
executantId,Ідентифікатор виконавця,Код ЄДРПОУ відповідального виконавця програми. Наприклад: 01234567,string,True
programUrl,Посилання,"Посилання на актуальну версію цільової програми, що оприлюднена в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc",anyURL,True
legalActType,Вид розпорядчого документа,"Вид розпорядчого документа, яким затверджена цільова програма. Наприклад: Наказ",string,True
legalActTitle,Назва розпорядчого документа,"Назва розпорядчого документа, яким затверджена цільова програма. Наприклад: Про затвердження програми розвитку позашкільної освіти на 2018 – 2021 роки",string,True
legalActAccepted,Дата ухвалення розпорядчого документа,Дата ухвалення розпорядчого документа у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
legalActNumber,Номер розпорядчого документа,Номер розпорядчого документа. Наприклад: 1234-р,string,True
legalActUrl,Посилання на розпорядчий документ,"Посилання на розпорядчий документ, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",anyURL,True
publisherName,Назва видавника,"Повна назва органу, що затвердив розпорядчий документ. Наприклад: Луцька міська рада",string,True
publisherId,Ідентифікатор видавника,"Код ЄДРПОУ органу, що затвердив розпорядчий документ. Наприклад: 01234567",string,True
