name,title,description,datatype,required
uid,Ідентифікатор,"Унікальним ідентифікатором договору є рік його підписання та номер, що розділені знаком дефіс. Наприклад: 2018-345/п. Розпорядники можуть використовувати власні ідентифікатори",string,True
number,Номер договору,Номер договору (без знака “№”). Наприклад: 345/п,string,True
dateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
investorName,Ім'я або назва інвестора,"Назва юридичної особи інвестора або прізвище, ім’я, по батькові фізичної особи - підприємця. Наприклад: ТОВ «Інвест-плюс»",string,True
investorId,Ідентифікатор інвестора,Код ЄДРПОУ юридичної особи інвестора. Дані реєстраційного номера облікової картки платника  податків фізичної особи – підприємця знеособлюються. Наприклад: 01234567,string,True
authorityName,Назва органу,"Назва органу, який є стороною договору. Наприклад: Виконавчий комітет Вінницької міської ради.",string,True
authorityId,Ідентифікатор органу,"Код ЄДРПОУ органу, який є стороною договору. Наприклад: 01234567",string,True
partiesName,Інші сторони договору,"Назва (назви) інших сторін договору. Наприклад: Департамент містобудування та архітектури Вінницької міської ради. У випадку кількох сторін розділити значення комами. Якщо сторони відсутні, вказати: null",string,False
partiesId,Ідентифікатори інших сторін договору,"Код (коди) ЄДРПОУ інших сторін договору. Наприклад: 01234567. У випадку кількох сторін розділити значення комами. Якщо сторони відсутні, вказати: null",string,False
description,Опис,Опис предмета договору. Наприклад: Встановлення паркувальних автоматів у кількості 20 (двадцяти) одиниць та автоматичних в’їзних та виїзних терміналів у кількості 5 (п’яти) одиниць для паркування у місті Вінниці,string,True
amountValue,Вартість договору,Очікувана вартість договору гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 120000.00.,decimal,True
startDate,Початок дії,Дата початку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
endDate,Завершення дії,Дата завершення дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-06,date,True
status,Статус договору,"Статус договору може мати одне зі значень: Чинний, Виконаний, Розірваний, Скасований. Наприклад: Чинний",string,True
url,Посилання,Посилання на перегляд або завантаження договору включно з усіма додатками. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc,anyURL,True
text,Текст договору,Вказується текст договору або назва файлу із текстовим вмістом.,string,False
legalActType,Вид НПА,"Якщо укладення договору передбачає прийняття нормативно-правового акта (НПА), яким затверджуються умови договору тощо, у цій та наступній колонках подається інформація про НПА. Вид нормативно-правового акта, яким затверджено договір. Наприклад: Рішення",string,False
legalActTitle,Назва НПА,"Назва нормативно-правового акта, яким затверджено договір. Наприклад: Про затвердження умов інвестиційних угод",string,False
legalActDate,Дата ухвалення НПА,Дата ухвалення нормативно-правового акта у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,False
legalActNumber,Номер НПА,Номер нормативно-правового акта. Наприклад: 1234-р,string,False
legalActUrl,Посилання на НПА,"Посилання на НПА, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/lex/1234-p",anyURL,False
publisherName,Назва видавника НПА,"Повна назва видавника НПА, яким затверджено договір. Наприклад: Виконавчий комітет Вінницької міської ради",string,False
publisherId,Ідентифікатор видавника НПА,Код ЄДРПОУ видавника. Наприклад: 01234567,string,False
