name,title,description,datatype,required
uid,Ідентифікатор маршруту,Унікальний ідентифікатор маршруту громадського транспорту. Має збігатися із uid відповідного маршруту з ресурсу routes,string,True
lat,Географічна широта,Географічна широта точки маршруту. Розділювач десяткових значень – крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,False
lon,Географічна довгота,Географічна довгота точки маршруту. Розділювач десяткових значень – крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,False
sequence,Послідовність,"Послідовність, у якій точки траєкторії з’єднуються для утворення форми. Значення повинні збільшуватися вздовж поїздки, але не обов’язково бути послідовними.",decimal,True
distanceTraveled,Відстань,"Фактична відстань, пройдена вздовж траєкторії від першої точки форми до точки, вказаної в цьому записі. Значення повинні збільшуватися разом із shape_pt_sequence; вони не повинні використовуватися для показу зворотного руху по маршруту. Зазначається у метрах. Наприклад: 1000.0 ",decimal,True
