name,title,description,datatype,required
uid,Унікальний ідентифікатор,"Вказується унікальний ідентифікатор транспортного засобу, це може бути ідентифікатор із системи автоматизованого диспетчерського управління. Наприклад: KY1234",string,True
number,Номерний знак,Реєстраційний номерний знак транспортного засобу зазначається латинськими літерами без пробілів. Наприклад: AB1234EI,string,True
vin,VIN номер транспортного засобу,Вказується VIN номер транспортного засобу. Наприклад: WAUZZZ8AZMA123456,string,True
bodyType,Вид транспортного засобу,Вказується вид транспортного засобу. Наприклад: легковий,string,True
identifier,Бортовий номер,бортовий номер (за наявності),string,False
lat,Географічна широта,Географічна широта місця розміщення контейнерного майданчика. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,False
lon,Географічна довгота,Географічна довгота місця розміщення контейнерного майданчика. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,False
bearing,Курс 	,"Курс руху транспортного засобу  у градусах, за годинниковою стрілкою від півночі, тобто 0 — це північ, а 90 — схід. Розділювач десяткових значень — крапка. Наприклад: 45.5",decimal,True
odometer,Значення одометра,"Значення одометра, в метрах.",decimal,True
speed,Моментальна швидкість,"Моментальна швидкість, виміряна транспортним засобом, у метрах за секунду. Одиниці вимірювання не зазначаються. Наприклад: 8.3",decimal,True
timestamp,Позначка часу,"Момент, коли було виміряно положення транспортного засобу. За часом POSIX (тобто кількість секунд з 1 січня 1970 року 00:00:00 UTC).",integer,True
