name,title,description,datatype,required
uid,Ідентифікатор,Інвентарний номер або інший ідентифікатор отриманого об’єкта. Наприклад: 0123456789,string,True
name,Назва,Назва об’єкта. Наприклад: Електронна торгова система «ProZorro.Продажі»,string,True
description,Опис,Короткий опис об’єкта. Наприклад: Електронна торгова система «ProZorro.Продажі» призначена для проведення електронних аукціонів. Система розроблена та функціонує відповідно до постанови Кабінету Міністрів України від 06.09.2017 р. № 717,string,True
quantity,Кількість,Кількість одиниць об’єкта. Необхідно вказати лише число без назви одиниць. Десяткові значення відділяються крапкою. Наприклад: 1.0,decimal,True
unitName,Назва одиниці виміру,"Одиницею виміру може бути штука (шт.) або будь-яка інша одиниця, залежно від типу об’єкта. Наприклад: шт.",string,True
amountValue,Вартість,Вартість об’єкта. Наприклад: 98765.40. Десяткові значення відділяються крапкою.. Наприклад: 98765.40,decimal,True
amountCurrency,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
projectId,Номер програми,Номер державної реєстрації проєкту (програми) відповідно до Переліку діючих проєктів  міжнародної технічної допомоги Мінекономіки. Наприклад: 1234-56,string,True
projectTitle,Назва програми,Назва проєкту  (програми) відповідно до Переліку діючих проєктів  міжнародної технічної допомоги Мінекономіки. Наприклад: Сприяння розвитку демократії,string,True
recipientId,Ідентифікатор реципієнта,"Код ЄДРПОУ реципієнта, що приймає майно на баланс. Наприклад: 01234567",string,True
recipientName,Назва реципієнта,"Повна назва реципієнта, що приймає майно на баланс. Наприклад: Виконавчий комітет Тернопільської міської ради",string,True
implementerId,Ідентифікатор виконавця,"Ідентифікатор виконавця програми (проекту), що передає майно (код ЄДРПОУ або аналог для нерезидентів). Наприклад: 01234567",string,True
implementerAddressAdminUnitL1,Країна,Зазначається трилітерний код країни реєстрації виконавця програми (проєкту) відповідно до стандарту ISO 3166. Наприклад: UKR,string,True
implementerName,Назва виконавця,"Назва виконавця програми (проекту), що передає майно. Наприклад: Громадська організація «Центр впровадження реформ»",string,True
actId,Номер акта,Номер акта приймання-передачі майна (без знака «№»). Наприклад: 123-45,string,True
actDate,Дата акта,Дата підписання акта приймання-передачі майна у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-26,date,True
