name,title,description,datatype,required
uid,Унікальний ідентифікатор,Вказується ідентифікатор сесії,string,True
label,Сесія,"Вказується сесія, на якій розглядається питання порядку денного. Наприклад: 3 сесія",string,True
convocationUid,Ідентифікатор скликання,Вказується ідентифікатор скликання до якого відноситься сесія - атрибут uid ресурсу convocations,string,True
dateFrom,Дата початку сесії,"Дата початку сесії, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30",date,True
dateUntil,Дата завершення сесії,"Дата закінчення сесії, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30",date,True
