name,title,description,datatype,required
uid,Унікальний ідентифікатор ,Унікальний ідентифікатор події голосування,string,True
motionUid,Ідентифікатор питання порядку денного,Вказується ідентифікатор питання порядку денного - атрибут uid ресурсу motions,string,True
projectNumber,Номер проєкту рішення,Вказується номер проєкту рішення за яке відбувається голосування. Наприклад: 757/2,string,True
projectTitle,Назва проєкту рішення,Вказується назва проєкту рішення за яке відбувається голосування. Наприклад: Про затвердження Переліків адміністративних послуг,string,True
startDate,Час початку голосування,Час початку голосування. Дата вказується у форматі ISO 8601 (рррр-мм-ддTгг:хх) Наприклад:2023-04-09T15:00:00.000000Z,dateTime,True
endDate,"Час, коли голосування закінчується","Час, коли голосування закінчується. Дата вказується у форматі ISO 8601 (рррр-мм-ддTгг:хх) Наприклад:2023-04-09T15:00:00.000000Z",dateTime,True
result,Результати голосування,"Результати голосування: “Прийнято”, “Не прийнято”, “Не голосували”, “Не розглядали”",string,True
votingFor,Голоси “За”,"Кількість осіб, які проголосували “ЗА”. Зазначається цілим числом. Наприклад: 7",integer,True
votingAgainst,Голоси “Проти”,"Кількість осіб, які проголосували “Проти”. Зазначається цілим числом. Наприклад: 5",integer,True
votingAbstain,Голоси “Утрималися”,"Кількість осіб, які проголосували “Утримались”. Зазначається цілим числом. Наприклад: 3",integer,True
notVoting,Не голосували,"Кількість осіб, які не голосували. Зазначається цілим числом. Наприклад: 4",integer,True
absent,Відсутні,"Кількість осіб, які були відсутні під час голосування. Зазначається цілим числом. Наприклад: 2",integer,True
textUrl,Посилання на документ оприлюднений в мережі Інтернет.,Посилання на оприлюднений документ. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/,anyURL,True
text,Назва файлу із прийнятим рішенням,"Вказується назва файлу із прийнятим рішенням та додатками до нього, які оприлюднюються в архіві. Наприклад: 757-2.html",string,True
