name,title,description,datatype,required
id,Номер дозволу,Номер дозволу на розміщення зовнішньої реклами. Наприклад: 123,string,True
issuedDate,Дата видання дозволу,Дата дозволу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
authorityName,Назва органу,"Назва органу, який видав дозвіл. Наприклад: Департамент містобудування та архітектури Ірпінської міської ради",string,True
authorityId,Ідентифікатор органу,"Код ЄДРПОУ органу, який видав дозвіл. Наприклад: 01234567",string,True
distributorName,Ім'я або назва розповсюджувача,"Прізвище, ім’я, по батькові або назва розповсюджувача зовнішньої реклами. Наприклад: ТОВ «Київреклама»",string,True
distributorId,Ідентифікатор розповсюджувача,Код ЄДРПОУ розповсюджувача. Наприклад: 01234567. РНОКПП ФОП знеособлюються,string,True
status,Статус,"Статус дозволу може мати одне зі значень: Чинний, Втратив чинність за терміном дії, Анульований, Перевиданий. Наприклад: Чинний",string,True
validFrom,Дата початку дії,"Дата, з якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2017-05-30",date,True
validThrough,Дата завершення дії,"Дата, до якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2020-06-30",date,True
contractNumber,Номер договору,Номер договору на тимчасове користування місцем розміщення. Наприклад: 2018-21а,string,True
contractSignedDate,Дата договору,Дата укладання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-06-30,date,True
type,Вид,"Вид рекламного засобу, відповідно до переліку видів, що використовується розпорядником. Наприклад: Стенд, Щит, Панно, Транспарант, Трол, Короб, Табло, Екран тощо. Наприклад: Щит",string,True
planesValue,Кількість рекламних площин,Кількість рекламних площин. Наприклад: 2,integer,True
horizontalSize,Розмір по горизонталі,Розмір рекламного засобу по горизонталі в метрах. Число вказується без зазначення одиниці вимірювання («м.»). Наприклад: 20. Десяткові значення відділяються крапкою.,decimal,True
verticalSize,Розмір по вертикалі,Розмір рекламного засобу по вертикалі в метрах. Число вказується без зазначення одиниці вимірювання («м.»). Наприклад: 20. Десяткові значення відділяються крапкою.,decimal,True
area,Площа,Площа рекламного засобу у квадратних метрах. Число вказується без зазначення одиниці вимірювання («кв. м.»). Наприклад: 200. Десяткові значення відділяються крапкою.,decimal,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс місця розташування рекламного засобу. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,Назва регіону місця розташування рекламного засобу. Наприклад: Полтавська область,string,True
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати: null,string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер об’єкта,Номер об’єкта (будівлі) може включати числа та букви. Наприклад: 15-А,string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
addressDescription,Опис розміщення,Опис вказується за потреби чіткіше визначити розміщення. Наприклад: зовнішня стіна будинку на рівні 3-го поверху,string,False
lat,Географічна широта,Географічна широта місця розташування рекламного засобу. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,False
lon,Географічна довгота,Географічна довгота місця розташування рекламного засобу. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,False
imageUrl,Фото,"Посилання на фото місця розташування рекламного засобу, що оприлюднене в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://lmr.gov.ua/ad/123.jpg",anyURL,False
